INSTNM,CITY,STABBR,ZIP,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL,COSTT4_A,RET_FT4,DEBT_MDN,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,AccredAgency
Berkeley City College,Berkeley,CA,94704,1,37.8705,-122.2698,NULL,NULL,12466,NULL,6250,6036,0.2656,0.1789,0.2278,0.1569,0.0025,0.0028,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
Walden University,Minneapolis,MN,55401,3,44.9788,-93.2612,NULL,NULL,NULL,NULL,11500.5,8064,0.4157,0.3457,0.0585,0.0151,0.0045,0.0024,North Central Association of Colleges and Schools The Higher Learning Commission
Waynes College of Beauty,Salinas,CA,93906-2830,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,0.119,0.0476,0.8095,0.0238,0,0,National Accrediting Commission of Career Arts and Sciences
West Hills College-Coalinga,Coalinga,CA,93210,1,36.1479,-120.3567,NULL,NULL,13472,NULL,5500,2793,0.2241,0.0659,0.5779,0.0508,0.0061,0.0043,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
West Los Angeles College,Culver City,CA,90230-3519,1,34.0056,-118.3876,NULL,NULL,13291,NULL,9000,9464,0.1373,0.3087,0.4041,0.0545,0.0034,0.0021,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
West Valley College,Saratoga,CA,95070-5698,1,37.2631,-122.0097,NULL,NULL,14565,NULL,4500,8470,0.48,0.0339,0.2318,0.1534,0.0031,0.0039,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
Carrington College California-Sacramento,Sacramento,CA,95826,3,38.5618,-121.3689,0.521,NULL,NULL,NULL,12122,1267,0.4009,0.1263,0.1973,0.1176,0.011,0.0189,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
Westminster Theological Seminary in California,Escondido,CA,92027,2,33.1214,-117.0464,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Western Association of Schools and Colleges Senior College and University Commission
Westmont College,Santa Barbara,CA,93108-1089,2,34.4493,-119.6619,0.7016,1193,51760,0.8462,19500,1295,0.6664,0.01,0.129,0.0633,0.0023,0.0039,Western Association of Schools and Colleges Senior College and University Commission
Whittier College,Whittier,CA,90601,2,33.9776,-118.0284,0.6325,1043,49920,0.8292,21500,1651,0.3537,0.0454,0.424,0.089,0.0061,0.0024,Western Association of Schools and Colleges Senior College and University Commission
Woodbury University,Burbank,CA,91510-7846,2,34.2092,-118.3407,0.5575,987,42465,0.7458,27000,1353,0.3688,0.037,0.2934,0.0946,0.0022,0.0059,Western Association of Schools and Colleges Senior College and University Commission
The Wright Institute,Berkeley,CA,94704-1796,2,37.8682,-122.2532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Western Association of Schools and Colleges Senior College and University Commission
Western State College of Law at Argosy University,Fullerton,CA,92831-3014,3,33.8807,-117.8903,NULL,NULL,NULL,NULL,9500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Western Association of Schools and Colleges Senior College and University Commission
Thomas Jefferson School of Law,San Diego,CA,92101,2,32.7104,-117.1541,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,American Bar Association Council of the Section of Legal Education and Admissions to the Bar
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,90046,2,34.0855,-118.3467,1,NULL,23850,0.4375,NULL,131,0.9237,0,0,0,0,0,Association of Advanced Rabbinical and Talmudic Schools Accreditation Commission
Yuba College,Marysville,CA,95901,1,39.126,-121.5393,NULL,NULL,12017,NULL,7000,6345,0.44,0.0429,0.2782,0.1144,0.0106,0.0046,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges
The Salon Professional Academy-Grand Junction,Grand Junction,CO,81501,3,39.0782,-108.5076,NULL,NULL,NULL,NULL,8870,90,0.6222,0.0111,0.2444,0.0111,0.0111,0,National Accrediting Commission of Career Arts and Sciences
Adams State University,Alamosa,CO,81101,1,37.4772,-105.8809,0.526,939,17759,0.5592,11000,2227,0.5123,0.0768,0.3026,0.0112,0.0153,0.0063,North Central Association of Colleges and Schools The Higher Learning Commission
Aims Community College,Greeley,CO,80632,1,40.409,-104.7643,NULL,NULL,13308,NULL,5259.5,3852,0.5979,0.0192,0.3326,0.0083,0.0055,0.0026,North Central Association of Colleges and Schools The Higher Learning Commission
Arapahoe Community College,Littleton,CO,80160-9002,1,39.6075,-105.0186,NULL,NULL,13086,NULL,5500,8920,0.5911,0.0341,0.1704,0.0247,0.0067,0.0025,North Central Association of Colleges and Schools The Higher Learning Commission
Bel-Rea Institute of Animal Technology,Denver,CO,80247,3,39.6861,-104.8753,0.6754,NULL,24078,NULL,20919,576,0.7413,0.0208,0.1302,0.0122,0,0,Accrediting Commission of Career Schools and Colleges
Everest College-Colorado Springs,Colorado Springs,CO,80916,3,38.8071,-104.7403,NULL,NULL,25950,NULL,9500,389,0.4319,0.2262,0.1799,0.0077,0.0257,0.0257,Accrediting Council for Independent Colleges and Schools
University of Colorado Denver,Denver,CO,80217-3364,1,39.7464,-104.9993,0.7587,1073,18822,0.7521,16750,10470,0.5199,0.0496,0.1547,0.0963,0.0048,0.0014,North Central Association of Colleges and Schools The Higher Learning Commission
University of Colorado Colorado Springs,Colorado Springs,CO,80918,1,38.8927,-104.8003,0.91,1068,16707,0.7137,12500,8888,0.6854,0.0375,0.1412,0.0327,0.0055,0.0033,North Central Association of Colleges and Schools The Higher Learning Commission
Redstone College,Broomfield,CO,80021-3465,3,39.9148,-105.1191,NULL,NULL,25485,NULL,17498.5,434,0.5991,0.076,0.023,0.0161,0.0253,0.0092,Accrediting Commission of Career Schools and Colleges | Accrediting Council for Independent Colleges and Schools
University of Colorado Boulder,Boulder,CO,80309-0017,1,40.0044,-105.2671,0.8771,1192,27854,0.8462,15000,25461,0.7413,0.0169,0.0959,0.0518,0.0031,0.0006,North Central Association of Colleges and Schools The Higher Learning Commission
Colorado Christian University,Lakewood,CO,80226,2,39.7117,-105.0948,0.9764,NULL,36956,0.6911,9500,3614,0.6785,0.0849,0.1209,0.0141,0.0077,0.0036,North Central Association of Colleges and Schools The Higher Learning Commission
Colorado College,Colorado Springs,CO,80903,2,38.8466,-104.8242,0.2228,1323,54200,0.9608,17255,2025,0.6963,0.0212,0.0884,0.0435,0.0044,0,North Central Association of Colleges and Schools The Higher Learning Commission
Concorde Career College-Aurora,Aurora,CO,80010-4314,3,39.7187,-104.8671,1,NULL,NULL,NULL,9500,847,0.4286,0.0992,0.1842,0.0342,0,0.0083,Accrediting Commission of Career Schools and Colleges
The Art Institute of Colorado,Denver,CO,80203-2983,3,39.7356,-104.9858,NULL,NULL,30664,0.4831,12597,1794,0.4381,0.0708,0.1923,0.0223,0.0117,0.0033,Accrediting Council for Independent Colleges and Schools | North Central Association of Colleges and Schools The Higher Learning Commission
Colorado Mountain College,Glenwood Springs,CO,81601-0233,1,39.47,-107.2375,NULL,NULL,14430,NULL,5500,3559,0.7207,0.0073,0.1689,0.0073,0.0093,0.0008,North Central Association of Colleges and Schools The Higher Learning Commission
Colorado Northwestern Community College,Rangely,CO,81648-3598,1,40.0807,-108.7903,NULL,NULL,15455,NULL,8578.5,649,0.7596,0.0385,0.0786,0.0077,0.0185,0.0031,North Central Association of Colleges and Schools The Higher Learning Commission
Colorado School of Mines,Golden,CO,80401,1,39.7508,-105.2271,0.3743,1298,29091,0.9189,22625,4197,0.7529,0.0117,0.0803,0.0467,0.0019,0.0002,North Central Association of Colleges and Schools The Higher Learning Commission
Colorado School of Trades,Lakewood,CO,80215-2996,3,39.741,-105.1039,NULL,NULL,NULL,NULL,17990,182,0.4945,0.0055,0.0549,0,0,0,Accrediting Commission of Career Schools and Colleges
Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,1,40.5748,-105.0808,0.7743,1127,21823,0.8591,16707.5,22482,0.7495,0.021,0.096,0.019,0.0033,0.0009,North Central Association of Colleges and Schools The Higher Learning Commission
Colorado Technical University-Colorado Springs,Colorado Springs,CO,80907-3812,3,38.8943,-104.8339,NULL,NULL,23475,0.4063,15834,1200,0.285,0.0625,0.0525,0.0133,0.0058,0.0058,North Central Association of Colleges and Schools The Higher Learning Commission
Empire Beauty School-Lakewood,Lakewood,CO,80226,3,39.7228,-105.0821,NULL,NULL,NULL,NULL,5781,62,0.4677,0.1129,0.3548,0.0161,0.0161,0,NULL
Community College of Aurora,Aurora,CO,80011-9036,1,39.7178,-104.8019,NULL,NULL,18238,NULL,6500,5694,0.3985,0.2613,0.1656,0.0462,0.006,0.0035,North Central Association of Colleges and Schools The Higher Learning Commission
College America-Denver,Denver,CO,80222,2,39.6916,-104.9412,NULL,NULL,22306,0.4211,20000,497,0.4165,0.1952,0.332,0.0262,0.0141,0.004,Accrediting Commission of Career Schools and Colleges
Delta Montrose Technical College,Delta,CO,81416,1,38.7025,-108.0311,NULL,NULL,NULL,NULL,4825,262,0.8015,0,0.1527,0.0076,0.0038,0,Council on Occupational Education
Prince Institute-Rocky Mountains,Westminster,CO,80031-2901,3,39.8599,-105.0651,NULL,NULL,18456,NULL,12667,34,0.7353,0,0.1176,0,0.1471,0,NULL
Community College of Denver,Denver,CO,80204-2026,1,39.7414,-105.003,NULL,NULL,13908,NULL,8250,8003,0.351,0.1786,0.2612,0.0602,0.0127,0.0026,North Central Association of Colleges and Schools The Higher Learning Commission
Lincoln College of Technology-Denver,Denver,CO,80239,3,39.7081,-105.001,NULL,NULL,NULL,NULL,10861,1262,0.4913,0.038,0.2845,0.0111,0.0198,0,Accrediting Commission of Career Schools and Colleges
Denver Seminary,Littleton,CO,80120,2,39.6006,-105.0224,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Commission on Accrediting of the Association of Theological Schools | North Central Association of Colleges and Schools The Higher Learning Commission
Westwood College-Denver North,Denver,CO,80221,3,39.8304,-104.9864,NULL,NULL,24309,0.75,25640,438,0.2808,0.0274,0.0845,0.0228,0.0091,0,Accrediting Council for Independent Colleges and Schools
University of Denver,Denver,CO,80208,2,39.696,-104.9646,0.7673,1231,53614,0.8678,20832,5505,0.6836,0.0272,0.089,0.0416,0.0051,0.0009,North Central Association of Colleges and Schools The Higher Learning Commission
Emily Griffith Technical College,Denver,CO,80204-2197,1,39.741,-104.9953,NULL,NULL,NULL,NULL,NULL,2802,0.5785,0.0664,0.2827,0.015,0.0046,0.0011,Council on Occupational Education
Fort Lewis College,Durango,CO,81301-3999,1,37.2754,-107.867,0.875,1049,19565,0.6504,10500,3859,0.5729,0.0096,0.0959,0.0052,0.2218,0.0029,North Central Association of Colleges and Schools The Higher Learning Commission
Front Range Community College,Westminster,CO,80031,1,39.9018,-105.0394,NULL,NULL,14433,NULL,8278,16297,0.7023,0.0169,0.1354,0.0332,0.0094,0.0024,North Central Association of Colleges and Schools The Higher Learning Commission
Glenwood Beauty Academy,Glenwood Springs,CO,81601,3,39.5619,-107.3591,NULL,NULL,NULL,NULL,9104.5,53,0.5094,0.0189,0.434,0,0,0,National Accrediting Commission of Career Arts and Sciences
Hair Dynamics Education Center,Fort Collins,CO,80525,3,40.4972,-105.0765,NULL,NULL,NULL,NULL,11122.5,174,0.7414,0.0172,0.1667,0.0115,0.0057,0,National Accrediting Commission of Career Arts and Sciences
Iliff School of Theology,Denver,CO,80210-4798,2,39.6775,-104.9606,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Commission on Accrediting of the Association of Theological Schools | North Central Association of Colleges and Schools The Higher Learning Commission
International Salon and Spa Academy,Colorado Springs,CO,80918-3684,3,38.9136,-104.7863,NULL,NULL,NULL,NULL,6333,205,0.5171,0.2439,0.1951,0.0341,0,0.0049,National Accrediting Commission of Career Arts and Sciences
Lamar Community College,Lamar,CO,81052-3999,1,38.0581,-102.6156,NULL,NULL,15591,NULL,7667,538,0.5892,0.0595,0.2454,0.0019,0.0112,0.0037,North Central Association of Colleges and Schools The Higher Learning Commission
Colorado Mesa University,Grand Junction,CO,81501-3122,1,39.0764,-108.5403,0.8212,972,18077,0.6535,11250,8733,0.7213,0.0251,0.1453,0.0142,0.0097,0.0054,North Central Association of Colleges and Schools The Higher Learning Commission
Metropolitan State University of Denver,Denver,CO,80217-3362,1,39.7422,-105.0024,0.7116,973,14034,0.658,13450.5,21696,0.6064,0.0604,0.2095,0.0342,0.0073,0.0026,North Central Association of Colleges and Schools The Higher Learning Commission
Morgan Community College,Fort Morgan,CO,80701,1,40.2588,-103.7718,NULL,NULL,16058,NULL,7000,937,0.6393,0.0117,0.1836,0.0043,0.0053,0,North Central Association of Colleges and Schools The Higher Learning Commission
Naropa University,Boulder,CO,80302-6697,2,40.0148,-105.2671,0.7975,NULL,42575,0.5833,16750,380,0.6526,0.0132,0.0816,0.0132,0.0026,0,North Central Association of Colleges and Schools The Higher Learning Commission
National American University-Colorado Springs,Colorado Springs,CO,80920,3,38.9527,-104.7908,NULL,NULL,NULL,0,10490.5,281,0.4875,0.2491,0.1246,0.0178,0.0178,0.0285,NULL
National American University-Denver,Denver,CO,80222-3308,3,39.692,-104.9416,NULL,NULL,NULL,NULL,10490.5,258,0.4767,0.2209,0.1512,0.0271,0.0116,0.0116,NULL
Nazarene Bible College,Colorado Springs,CO,80910-3704,2,38.8141,-104.7511,NULL,NULL,25950,0,12322.5,889,0.7728,0.0742,0.0821,0.0101,0.0112,0.0056,Association for Biblical Higher Education Commission on Accreditation | North Central Association of Colleges and Schools The Higher Learning Commission
Northeastern Junior College,Sterling,CO,80751-2944,1,40.6369,-103.1975,NULL,NULL,15982,NULL,5500,1257,0.6738,0.0636,0.1034,0.004,0.0088,0.0024,North Central Association of Colleges and Schools The Higher Learning Commission
University of Northern Colorado,Greeley,CO,80639,1,40.4032,-104.7017,0.6957,1029,19105,0.663,14250,9525,0.5818,0.0382,0.1636,0.0152,0.0036,0.0024,North Central Association of Colleges and Schools The Higher Learning Commission
Otero Junior College,La Junta,CO,81050,1,37.9712,-103.5448,NULL,NULL,16404,NULL,6502,1011,0.5114,0.0455,0.2799,0.0079,0.0119,0.0059,North Central Association of Colleges and Schools The Higher Learning Commission
Everest College-Thornton,Thornton,CO,80229,3,39.8616,-104.9854,NULL,NULL,25134,NULL,9500,371,0.4124,0.0296,0.4367,0.0162,0.0162,0.0027,Accrediting Council for Independent Colleges and Schools
Pikes Peak Community College,Colorado Springs,CO,80906-5498,1,38.7643,-104.7873,NULL,NULL,14717,NULL,5906,12747,0.6244,0.0838,0.1367,0.0257,0.0103,0.0057,North Central Association of Colleges and Schools The Higher Learning Commission
Intellitec Medical Institute,Colorado Springs,CO,80919,3,38.8658,-104.7562,NULL,NULL,NULL,NULL,13000,339,0.5959,0.1239,0.1976,0.0147,0.0236,0.0059,Accrediting Bureau of Health Education Schools
Pueblo Community College,Pueblo,CO,81004-1499,1,38.2635,-104.6364,NULL,NULL,14679,NULL,7125,4922,0.5646,0.0246,0.2861,0.0069,0.0238,0.002,North Central Association of Colleges and Schools The Higher Learning Commission
Red Rocks Community College,Lakewood,CO,80228-1255,1,39.7203,-105.1501,NULL,NULL,14046,NULL,8050,8224,0.7164,0.0203,0.1306,0.0246,0.0098,0.0017,North Central Association of Colleges and Schools The Higher Learning Commission
Regis University,Denver,CO,80221-1099,2,39.7898,-105.0314,0.6986,1087,43058,0.8186,20501,4930,0.6213,0.0531,0.1746,0.041,0.0065,0.0018,North Central Association of Colleges and Schools The Higher Learning Commission
Rocky Mountain College of Art and Design,Lakewood,CO,80214,3,39.7433,-105.0699,NULL,NULL,39272,0.6632,10000,722,0.6163,0.0554,0.0983,0.0277,0.0139,0.0014,North Central Association of Colleges and Schools The Higher Learning Commission
Montessori Education Center of the Rockies,Boulder,CO,80301,2,39.965,-105.2531,1,NULL,NULL,1,9500,11,0.5455,0,0.2727,0,0.1818,0,Montessori Accreditation Council for Teacher Education Commission on Accreditation
Colorado State University-Pueblo,Pueblo,CO,81001-4901,1,38.3092,-104.5798,0.9434,967,18007,0.6263,12061,4375,0.5067,0.077,0.3093,0.0169,0.0069,0.0023,North Central Association of Colleges and Schools The Higher Learning Commission
Pickens Technical College,Aurora,CO,80011-9307,1,39.7235,-104.79,NULL,NULL,13453,NULL,NULL,1184,0.3598,0.1495,0.4215,0.0431,0.0076,0.0042,Council on Occupational Education
Intellitec College-Colorado Springs,Colorado Springs,CO,80909-6096,3,38.8322,-104.7872,NULL,NULL,NULL,NULL,15473,815,0.6503,0.1509,0.1534,0.0147,0.0074,0.0037,Accrediting Commission of Career Schools and Colleges
Intellitec College-Grand Junction,Grand Junction,CO,81506,3,39.1163,-108.5306,NULL,NULL,NULL,NULL,11000,536,0.6306,0.0112,0.319,0.0037,0.028,0.0019,Accrediting Commission of Career Schools and Colleges
Trinidad State Junior College,Trinidad,CO,81082,1,37.1729,-104.5122,NULL,NULL,16636,NULL,5500,1307,0.4491,0.0436,0.4009,0.0115,0.0115,0,North Central Association of Colleges and Schools The Higher Learning Commission
Empire Beauty School-Thornton,Thornton,CO,80233,3,39.9149,-104.9435,NULL,NULL,NULL,NULL,6569,161,0.4534,0.0062,0.4596,0.0186,0,0,NULL
Western State Colorado University,Gunnison,CO,81231,1,38.5474,-106.9197,0.932,1005,18875,0.6837,12000,1956,0.7474,0.0245,0.0905,0.0097,0.0026,0.0046,North Central Association of Colleges and Schools The Higher Learning Commission
Albertus Magnus College,New Haven,CT,06511-1189,2,41.3325,-72.9238,0.6821,830,41520,0.9256,26313,1278,0.4476,0.277,0.1354,0.0141,0.0023,0,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Paul Mitchell the School-Danbury,Danbury,CT,6810,3,41.3876,-73.4421,NULL,NULL,NULL,NULL,9833,127,0.6772,0.0394,0.1496,0.0079,0,0,National Accrediting Commission of Career Arts and Sciences
Asnuntuck Community College,Enfield,CT,6082,1,41.9984,-72.5702,NULL,NULL,10520,NULL,4500,1360,0.7493,0.0912,0.0787,0.0346,0.0029,0.0015,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Branford Hall Career Institute-Branford Campus,Branford,CT,06405-4103,3,41.2786,-72.8482,NULL,NULL,NULL,NULL,9127.5,524,0.3511,0.2252,0.1565,0.0115,0.0038,0,Accrediting Council for Independent Colleges and Schools
Lincoln College of New England-Southington,Southington,CT,06489-1057,3,41.6323,-72.9202,NULL,NULL,29502,0.3478,14217,837,0.5006,0.1971,0.1446,0.0131,0.0036,0,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Bridgeport Hospital School of Nursing,Bridgeport,CT,6610,2,41.1894,-73.1652,NULL,NULL,25950,NULL,16000,171,0.6901,0.1404,0.0936,0.0351,0,0,NULL
University of Bridgeport,Bridgeport,CT,06604-5620,2,41.1656,-73.1894,0.6385,923,45640,0.6361,17500,2835,0.273,0.346,0.1813,0.0286,0.0085,0.0021,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Central Connecticut State University,New Britain,CT,6050,1,41.6903,-72.7701,0.6413,1006,20372,0.7681,16852.5,9512,0.6846,0.1051,0.1159,0.0347,0.0018,0.0012,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Charter Oak State College,New Britain,CT,6053,1,41.6882,-72.768,NULL,NULL,NULL,NULL,12258,1471,0.6411,0.1679,0.1094,0.0163,0.0034,0.002,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Connecticut Center for Massage Therapy-Newington,Newington,CT,06111-3975,3,41.6851,-72.7107,NULL,NULL,NULL,NULL,7198,304,0.625,0.0954,0.0921,0.0033,0.0033,0,Commission on Massage Therapy Accreditation
Connecticut College,New London,CT,06320-4196,2,41.3798,-72.1073,0.3585,NULL,58690,0.8827,20712.5,1878,0.6997,0.0399,0.0905,0.033,0,0.0011,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Marinello Schools of Beauty-East Hartford,East Hartford,CT,6108,3,41.7712,-72.6424,NULL,NULL,NULL,NULL,6254,151,0.1457,0.3709,0.4305,0.0199,0.0199,0,National Accrediting Commission of Career Arts and Sciences
Porter and Chester Institute of Branford,Branford,CT,6405,3,41.2773,-72.8549,NULL,NULL,27518,NULL,9500,298,0.5067,0.1946,0.1913,0.0201,0,0,Accrediting Commission of Career Schools and Colleges
University of Connecticut,Storrs,CT,6269,1,41.8082,-72.2495,0.5366,1215,25786,0.9392,18983,17684,0.6349,0.0522,0.0784,0.0882,0.0014,0.0007,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Goodwin College,East Hartford,CT,6118,2,41.7441,-72.6403,NULL,NULL,32844,0.5405,13960.5,3269,0.5347,0.2251,0.1875,0.0226,0.0043,0.0006,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Lincoln Technical Institute-East Windsor,East Windsor,CT,6088,3,41.9242,-72.5969,NULL,NULL,NULL,NULL,10182,655,0.5893,0.0962,0.1328,0.0183,0.0031,0.0046,Accrediting Commission of Career Schools and Colleges
Eastern Connecticut State University,Willimantic,CT,6226,1,41.7217,-72.2188,0.6453,1017,22633,0.781,17500,4920,0.7024,0.0648,0.0872,0.0217,0.002,0.001,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Fairfield University,Fairfield,CT,06824-5195,2,41.1607,-73.2578,0.7116,NULL,56628,0.8697,24000,3721,0.7162,0.0271,0.0785,0.0215,0.0011,0.0008,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Northhaven Academy,North Haven,CT,6473,3,41.3945,-72.8575,NULL,NULL,NULL,NULL,9833,156,0.5449,0.0833,0.0705,0.0064,0,0,National Accrediting Commission of Career Arts and Sciences
Capital Community College,Hartford,CT,6103,1,41.7684,-72.6727,NULL,NULL,13470,NULL,5250,3732,0.187,0.3733,0.2878,0.0367,0.0019,0.0008,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Rensselaer Hartford Graduate Center Inc,Hartford,CT,6120,2,41.7735,-72.6739,NULL,1366,NULL,NULL,27000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fox Institute of Business-West Hartford,West Hartford,CT,06110-1922,3,41.727,-72.7258,NULL,NULL,NULL,NULL,10058,327,0.1927,0.3272,0.4343,0.0214,0,0.0031,Accrediting Council for Independent Colleges and Schools
Hartford Seminary,Hartford,CT,06105-2260,2,41.7699,-72.7078,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Commission on Accrediting of the Association of Theological Schools | New England Association of Schools and Colleges Commission on Institutions of Higher Education
University of Hartford,West Hartford,CT,06117-1599,2,41.7965,-72.715,0.6173,1053,47368,0.7254,19944,5026,0.5975,0.1486,0.0933,0.0304,0.0054,0.0006,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Holy Apostles College and Seminary,Cromwell,CT,06416-2005,2,41.6068,-72.6479,NULL,NULL,15930,0.8571,PrivacySuppressed,48,0.4583,0.0208,0.0833,0.0625,0,0,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Housatonic Community College,Bridgeport,CT,06604-4704,1,41.1752,-73.191,NULL,NULL,10703,NULL,4750,5288,0.3487,0.3081,0.2823,0.0352,0.0017,0.0013,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Sanford-Brown College-Farmington,Farmington,CT,6032,3,41.7354,-72.7956,NULL,NULL,NULL,NULL,17028,62,0.129,0.0968,0.0968,0,0,0,Accrediting Council for Independent Colleges and Schools
Lyme Academy College of Fine Arts,Old Lyme,CT,6371,2,41.3228,-72.3294,0.8537,NULL,36811,0.8333,19000,77,0.8312,0.0519,0.0779,0,0.026,0,National Association of Schools of Art and Design Commission on Accreditation | New England Association of Schools and Colleges Commission on Institutions of Higher Education
Manchester Community College,Manchester,CT,6040,1,41.7605,-72.5626,NULL,NULL,9000,NULL,2869.5,6773,0.5377,0.1708,0.1779,0.0412,0.0013,0.0015,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Naugatuck Valley Community College,Waterbury,CT,06708-3089,1,41.5496,-73.0712,NULL,NULL,10754,NULL,4200,6627,0.5627,0.1031,0.2377,0.0275,0.002,0.0018,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Middlesex Community College,Middletown,CT,06457-4829,1,41.5395,-72.6118,NULL,NULL,9053,NULL,4450,2403,0.6196,0.0936,0.1819,0.027,0.0033,0.0008,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Mitchell College,New London,CT,6320,2,41.3281,-72.0953,0.5766,NULL,43386,0.6483,16625,802,0.6983,0.1359,0.0773,0.0212,0.0125,0,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Three Rivers Community College,Norwich,CT,6360,1,41.5099,-72.103,NULL,NULL,9055,NULL,6100,4384,0.6526,0.0785,0.1492,0.0379,0.0073,0.0025,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Lincoln Technical Institute-New Britain,New Britain,CT,6051,3,41.6592,-72.7545,NULL,NULL,NULL,NULL,10182,465,0.4774,0.1505,0.2237,0.0172,0.0043,0,Accrediting Commission of Career Schools and Colleges
New England Tractor Trailer Training School of Connecticut,Somers,CT,6071,3,41.9784,-72.4517,NULL,NULL,NULL,NULL,5931,302,0.3079,0.3013,0.3709,0,0,0,Accrediting Commission of Career Schools and Colleges
University of New Haven,West Haven,CT,6516,2,41.2913,-72.9615,0.7441,1034,48280,0.7639,20500,4759,0.5276,0.0815,0.0813,0.0216,0.0044,0.0015,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Ridley-Lowell Business & Technical Institute-New London,New London,CT,6320,3,41.3499,-72.1005,NULL,NULL,NULL,NULL,9500,295,0.5458,0.2136,0.2203,0,0,0,Accrediting Council for Independent Colleges and Schools
Norwalk Community College,Norwalk,CT,6854,1,41.1026,-73.451,NULL,NULL,13507,NULL,2750,5133,0.3283,0.1966,0.34,0.044,0.0019,0.0025,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Northwestern Connecticut Community College,Winsted,CT,6098,1,41.921,-73.0593,NULL,NULL,10289,NULL,3033,1233,0.8354,0.0195,0.0892,0.0122,0,0.0016,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Paier College of Art Inc,Hamden,CT,06514-3902,3,41.3477,-72.935,NULL,NULL,17460,0.9333,19000,137,0.781,0.0803,0.0584,0.0292,0,0,Accrediting Commission of Career Schools and Colleges
Marinello Schools of Beauty-Meriden,Meriden,CT,06450-4836,3,41.5244,-72.7632,NULL,NULL,NULL,NULL,8500,503,0.3181,0.2903,0.3559,0.0119,0,0,National Accrediting Commission of Career Arts and Sciences
Porter and Chester Institute of Stratford,Stratford,CT,06615-7158,3,41.1696,-73.149,NULL,NULL,29352,NULL,9500,2630,0.5038,0.1635,0.2414,0.0175,0.0046,0.0008,Accrediting Commission of Career Schools and Colleges
Post University,Waterbury,CT,6723,3,41.5353,-73.0805,0.8302,865,40723,0.3946,8099,6616,0.3012,0.1581,0.0586,0.0065,0.0047,0.0029,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Quinebaug Valley Community College,Danielson,CT,06239-1436,1,41.8262,-71.8897,NULL,NULL,11294,NULL,PrivacySuppressed,1796,0.7879,0.0217,0.118,0.0161,0.0061,0.0022,New England Association of Schools and Colleges Commission on Institutions of Higher Education
Quinnipiac University,Hamden,CT,6518,2,41.4195,-72.8955,0.6722,1102,53476,0.8522,21852,6486,0.7831,0.0442,0.082,0.022,0.0026,0.0006,New England Association of Schools and Colleges Commission on Institutions of Higher Education
